1,Acanthe,xFLEURS,,,?,,,surprise
1,Acanthe,xFLEURS,,,2022,0,,
1,Agapanthe ,xFLEURS,,,2022,0,,
1,Agapanthe bleue,xFLEURS,,,2021,0,,
1,Agastache camphrée,xFLEURS,,,2022,0,,
1,Albizia (arbre à soie),xARBRE,,,2022,0,,
1,Amaranthe,xFLEURS,,,2022,0,Ceret 66,
1,Amaranthe à grain,xFLEURS,,,2020,0,,
1,Amaranthe tricolore,xFLEURS,,,2021,0,,
1,Aneth,Arom. APIACEES,Anethum,A.Graveolens,?,0,,Surprise
1,Arbre de Judée,xARBRE,,,2021,0,,
1,Arroche rouge,CHENOPODIACEES,Atriplex,A.Hortensis,2021,1,,
1,Arroche rouge (Laura),CHENOPODIACEES,Atriplex,A.Hortensis,2019,1,Baho (66),
1,Artemisa annua,xFLEURS,,,2021,0,,
1,Asiminier,xARBRE,,,2022,0,Elne (66),
1,Asiminier (sachets de 2 graines à associer),xARBRE,,,2022,0,Elne (66),
1,Asters (Vendangeuses),xFLEURS,,,?,,,surprise
1,Aubergine Barbentane,SOLANACEES,Solanum,Melongena,2019,,,peu
1,Aubergine Black Beauty,SOLANACEES,Solanum,Melongena,2018,0,Baixas (66),Adeline
1,Aubergine blanche,SOLANACEES,Solanum,Melongena,2020,0,,
1,Aubergine Galactica (violette et allongée),SOLANACEES,Solanum,Melongena,2021,,,Adeline repro Refardes
1,Aubergine Galactica (violette et allongée),SOLANACEES,Solanum,Melongena,2020,,,
nn,Aubergine Impérial Black Beauty,SOLANACEES,Solanum,Melongena,2020,,,
1,Aubergine longue des Philipines ,SOLANACEES,Solanum,Melongena,2021,0,Pézilla la R. (66),Cris
1,Aubergine Ping Tung,SOLANACEES,Solanum,Melongena,2021,0,Elne (66),"Culture Josiane, Semences Cris"
1,Aubergine Pusa purple cluster ,SOLANACEES,Solanum,Melongena,2020,1,Baho (66),
1,"Aubergine striée, ronde",SOLANACEES,Solanum,Melongena,2018,0,,très peu
1,Aubergine verte Thaï long green (tardive),SOLANACEES,Solanum,Melongena,2018,0,Baho (66),
1,Aubergine violette,SOLANACEES,Solanum,Melongena,2020,0,,
1,Aubergine zébrée,SOLANACEES,Solanum,Melongena,2020,0,,
B,Baaa,,,,,,,
,Baies roses,,,,?,0,,Surprise
1,Balsamine,xFLEURS,,,2022,1,,Uniquement en stock
1,Balsamine,xFLEURS,,,2021,0,,
0,Basilic fin vert,Arom. LAMIACEES,Ocimum,Basilicum,?,0,,Surprise
1,Basilic grand vert,Arom. LAMIACEES,Ocimum,Basilicum,2021,0,,
1,Basilic Thaï,Arom. LAMIACEES,Ocimum,Basilicum,2021,0,,
1,Basilic Tulsi (= sacré),Arom. LAMIACEES,Ocimum,Basilicum,2022,0,Pézilla la R. (66),
1,Basilic vietnamien,Arom. LAMIACEES,Ocimum,Basilicum,2022,,,
1,Belles de jour jaunes et violettes,xFLEURS,,,2022,0,,
1,Belles de nuit ,xFLEURS,,,2022,1,Ceret 66,Uniquement en stock
1,Belles de nuit ,xFLEURS,,,2021,1,Sahorre 66,
1,Betterave noire plate d'Espagne,CHENOPODIACEES,Beta,B.Vulgaris,Jusqu'en 2025,,,1
1,Betterave Rose et blanche de Permapempa ,CHENOPODIACEES,Beta,B.Vulgaris,2020,0,,
1,Betterave rouge,CHENOPODIACEES,Beta,B.Vulgaris,2019,0,,
1,Betteraves (graines moyennes à petites),CHENOPODIACEES,Beta,B.Vulgaris,2021,1,,Faut-il les garder ?
1,Betteraves (grosses graines),CHENOPODIACEES,Beta,B.Vulgaris,2021,1,,
1,Blé barbu du Roussillon ,POACEES,Triticum,T.Aestivum,2021,0,,"Don de Cris, cultivé par Pierre ?"
1,Blette,CHENOPODIACEES,Beta,B.Vulgaris,2020,1,,
1,Blette à carde jaune orangé,CHENOPODIACEES,Beta,B.Vulgaris,2020,0,,
1,Blette à carde rouge,CHENOPODIACEES,Beta,B.Vulgaris,2020,0,,
1,Blette grande carde blanche (Claire),CHENOPODIACEES,Beta,B.Vulgaris,2019,1,Palau del V. (66),
1,Blette jaune lignes roses,CHENOPODIACEES,Beta,B.Vulgaris,2022,1,,
1,Blette multicolore (Marc),CHENOPODIACEES,Beta,B.Vulgaris,2020,1,Baho (66),
1,Blette rouge,CHENOPODIACEES,Beta,B.Vulgaris,2022,1,,
1,"Blette verte, grande",CHENOPODIACEES,Beta,B.Vulgaris,2022,1,,
1,Bourrache ,xFLEURS,,,2022,,,à ranger
1,Bourrache (Josiane),xFLEURS,,,2021,0,Elne (66),
1,Bumble Bee Abelia parviflora,xFLEURS,,,?,,,à ranger
1,Butternut,CUCURBITACEES,Cucurbita,C.Moschata,2021,1,,
1,Butternut (Eloi),CUCURBITACEES,Cucurbita,C.Moschata,2020,1,,
1,Butternut (gros !),CUCURBITACEES,Cucurbita,C.Moschata,2022,1,,Uniquement en stock
1,Butternut Cantal,CUCURBITACEES,Cucurbita,C.Moschata,2020,0,,
C,Caaa,,,,,,,
1,Caïmite pourpre,xARBRE,,,2023,,Guadeloupe,
1,Calçots (Salanque),LILIACEES,Allium,A.Cepa,2022,,,à trier
1,Calebasse (grande),CUCURBITACEES,,,2021,0,,
1,Calebasse du Mali,CUCURBITACEES,,,2017,0,,
1,Callendula,xFLEURS,,,2021,1,,Uniquement en stock
1,Callendula,xFLEURS,,,2019,0,,
1,Camomille (petite camomille),xFLEURS,,,2020,0,,
1,Caramboles,xARBRE,,,2023,,Guadeloupe,
1,Cardères cultivées,xFLEURS,,,2017,0,,surprise
1,Cardi,xFLEURS,,,2022,0,,
1,Carotte Hambre,,,,2019,uniquement en stock,Ferme agroécologique de REO,
1,Carotte orange Chatenay à cœur rouge,,,,2017,uniquement en stock,Kokopelli,
1,Carotte orange de Colmar à cœur rouge,,,,2017,uniquement en stock,Kokopelli,
1,Carotte ronde marché de Paris,APIACEES,Daucus ,D.Carota,Jusqu'en 2024,,,
,Carotte rouge (Sonia),,,,2020,uniquement en stock,,à trier
1,Carottes rouge ancienne,APIACEES,Daucus ,D.Carota,2019,0,,
1,Caroube Portugal,xARBRE,ceratonia siliqua,,2021,0,,
1,Cassia Corymbosa (Senna) fleurs jaunes,xARBRE,,,2021,0,,
1,Céleri branche perpétuel Tall Utah,APIACEES,Apium ,Graveolens,2019,0,,
1,Celosie,xFLEURS,,,2021,0,Ortaffa 66,
1,Chanvre,xFLEURS,,,2022,0,,
1,Chérimolier (Anone),xARBRE,Annone,Chérimolier,2021,0,Palau del V. (66),
1,Chervis,APIACEES, Sium,Sium sisarum,2014,0,,
1,Chervis,,,,?,0,,Surprise
1,Chicorée sauvage rouge de Vérone,,,,?,0,,Surprise
1,Choux  Kale ou Brocolis ?,BRASSICACEES,Brassica,,2021,0,,Surprise
1,Choux brocoli,BRASSICACEES,Brassica,B.Oléracea,2021,1,,
1,"Choux brocolis ""Santa Maria"" violet",BRASSICACEES,Brassica,B.Oléracea,2021,uniquement en stock,Baixas (66),Adeline
1,Choux chinois,BRASSICACEES,Brassica,B.Rapa,2019,0,,
1,Choux Kale ,BRASSICACEES,Brassica,B.Napus,2022,0,Elne,
1,Choux Kale pas frisé,BRASSICACEES,Brassica,B.Napus,2021,0,Baixas (66),Adeline
1,Choux Mizuna (salade japonaise),BRASSICACEES,Brassica,B.Rapa,2021,0,Pézilla la R. (66),
1,Choux Mizuna (salade japonaise),BRASSICACEES,Brassica,B.Rapa,2022,Uniquement en stock,Pézilla la R. (66) ?,
1,Choux Mizuna (salade japonaise),BRASSICACEES,Brassica,B.Rapa,2018,Uniquement en stock,Pézilla la R. (66) ?,
1,Choux portugais (haut),BRASSICACEES,Brassica,,2017,0,,
1,Choux rouge de Russie (type Kale),BRASSICACEES,Brassica,B.Napus,2020,0,,
1,Choux-navet,BRASSICACEES,,,?,0,,Surprise
1,Chrysanthemum pacificum,xFLEURS,,,2021,0,,
1,Ciboulette commune,LILIACEES,Allium,A.Schoenprasum,Jusqu'en 2025,,,
1,Ciboulette commune,LILIACEES,Allium,A.Schoenprasum,Jusqu'en 2025,,,
1,Citrouille,CUCURBITACEES,,,2020,0,,Uniquement en stock
1,Citrouille Josiane,CUCURBITACEES,,,2021,1,,Uniquement en stock
1,Concombre amer (Goya) d'Okinawa,CUCURBITACEES,Momordica,M.Charantia,2021,0,,
1,Concombre cornu d'Afrique (Kiwano) / Marc,CUCURBITACEES,Cucumis,C.Metulifer,2021,0,,
1,Concombre Del Païs,CUCURBITACEES,Cucumis,C.Sativa,2019,0,,
1,Concombre généreux,CUCURBITACEES,Cucumis,C.Sativa,2018,0,,
1,Concombre mini Melothrie (Cucamelon),CUCURBITACEES,Melothria,M.Scabra,2020,0,,
1,Coqueret du Pérou,SOLANACEES,Physalis,,2023,0,St Cyprien (66),Josette et Jef
1,Coqueret du Pérou,SOLANACEES,Physalis,Physalis Péruviana,2023,0,Saint Cyprien,
1,Coréopsis,xFLEURS,,,?,0,,surprise
1,Coriandre,APIACEES,Coriandrum,C.Sativum,2020,1,,
